Title	Author	Genres	Rate	Count	Url
Kiều Thiếp	Đông Thi Nương	Ngôn Tình, Huyền Huyễn, Trọng Sinh, Cung Đấu, Cổ Đại, Sủng	9.2	1518	https://truyenfull.vision/kieu-thiep
Hãy Tỏ Tình Với Ta Đi	Bạo Táo Đích Bàng Giải	Ngôn Tình, Trọng Sinh, Sủng	9.2	918	https://truyenfull.vision/hay-to-tinh-voi-ta-di
Mộng Trong Mộng	Xuân Phong Lựu Hỏa	Ngôn Tình, Trọng Sinh	9.2	452	https://truyenfull.vision/mong-trong-mong
Trao Anh Ánh Dương Ấm Áp	Chung Cận	Ngôn Tình, Trọng Sinh, Khác	9.2	393	https://truyenfull.vision/trao-anh-anh-duong-am-ap
Boss Phản Diện Đợi Tôi Tới Cứu	Xuân Phong Lựu Hỏa	Ngôn Tình, Trọng Sinh, Hài Hước	9.2	257	https://truyenfull.vision/boss-phan-dien-doi-toi-toi-cuu-571073
Nữ Nhi Là Kẻ Tử Thù Đời Trước	Mộ Tự	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác	9.2	247	https://truyenfull.vision/nu-nhi-la-ke-tu-thu-doi-truoc
Lan Nhân Nhứ Quả	Zhihu	Trọng Sinh, Nữ Cường, Cổ Đại, Khác, Đoản Văn	9.2	71	https://truyenfull.vision/lan-nhan-nhu-qua
Trọng Sinh Sau Debut Thành Center	Chiết Chỉ Vi Hí	Ngôn Tình, Trọng Sinh	9.2	59	https://truyenfull.vision/trong-sinh-sau-debut-thanh-center
Nhân Quả	Zhihu	Trọng Sinh, Cổ Đại, Khác, Đoản Văn	9.2	56	https://truyenfull.vision/nhan-qua
Tạm Biệt Versailles	Vạn Xuyên Nhất Nguyệt	Xuyên Không, Trọng Sinh, Khác, Phương Tây	9.2	35	https://truyenfull.vision/tam-biet-versailles
Hình Tượng Của Đại Tiểu Thư Sụp Đổ Rồi!	Bản Lật Tử	Ngôn Tình, Trọng Sinh, Khác, Sủng	9.2	33	https://truyenfull.vision/hinh-tuong-cua-dai-tieu-thu-sup-do-roi
Trọng Sinh Nữ Thầy Phong Thuỷ - Thiên Sơn Trà Tân Quán	Thiên Sơn Trà Tân Quán	Tiên Hiệp, Ngôn Tình, Huyền Huyễn, Linh Dị, Xuyên Không, Trọng Sinh, Nữ Cường, Gia Đấu, Hài Hước, Điền Văn, Sủng	9.2	30	https://truyenfull.vision/trong-sinh-nu-thay-phong-thuy-thien-son-tra-tan-quan
Quay Đầu Nói Yêu Người	Giang Khương Khương	Đô Thị, Trọng Sinh, Khác, Đoản Văn	9.2	27	https://truyenfull.vision/quay-dau-noi-yeu-nguoi
Trọng Sinh Chi Thiên Đạo Thù Tình	Khinh Niên	Bách Hợp, Trọng Sinh, Cổ Đại	9.2	12	https://truyenfull.vision/trong-sinh-chi-thien-dao-thu-tinh
Trọng Sinh Chi Nuông Chiều Quân Hậu	Bàn Quất Bất Bàn	Ngôn Tình, Trọng Sinh	9.2	12	https://truyenfull.vision/trong-sinh-chi-nuong-chieu-quan-hau
Giang Sơn Vạn Dặm	Khuyết Danh	Ngôn Tình, Trọng Sinh, Cổ Đại	9.2	10	https://truyenfull.vision/giang-son-van-dam
Sống Lại Tôi Bắt Bạn Thân Phải Trả Giá	Tuyết Bích Thái Điềm Liễu	Linh Dị, Trọng Sinh, Nữ Cường	9.2	5	https://truyenfull.vision/song-lai-toi-bat-ban-than-phai-tra-gia
Con Trai Mang Họ Cha, Con Gái Giữ Mạng Mẹ	Khuyết Danh	Trọng Sinh, Khác	9.2	4	https://truyenfull.vision/con-trai-mang-ho-cha-con-gai-giu-mang-me
Thứ Nữ Hữu Độc	Tần Giản	Ngôn Tình, Trọng Sinh, Cung Đấu, Nữ Cường, Gia Đấu, Cổ Đại	9.1	3085	https://truyenfull.vision/thu-nu-huu-doc
Khom Lưng	Bồng Lai Khách	Ngôn Tình, Xuyên Không, Trọng Sinh	9.1	2296	https://truyenfull.vision/khom-lung
Tặng Quân Một Đời Vinh Hoa	Hoa Nhật Phi	Ngôn Tình, Trọng Sinh, Cổ Đại, Sủng	9.1	1873	https://truyenfull.vision/tang-quan-mot-doi-vinh-hoa
Chiều Em Đau Cả Trái Tim	Túy Hậu Ngư Ca	Ngôn Tình, Trọng Sinh, Sủng	9.1	1665	https://truyenfull.vision/chieu-em-dau-ca-trai-tim
Sổ Tay Sử Dụng Sủng Phi	Phong Hà Du Nguyệt	Ngôn Tình, Trọng Sinh, Cổ Đại, Sủng	9.1	1137	https://truyenfull.vision/so-tay-su-dung-sung-phi
Showbiz Là Của Tôi	Xuân Đao Hàn	Ngôn Tình, Trọng Sinh, Sủng	9.1	1117	https://truyenfull.vision/showbiz-la-cua-toi
Cảm Ơn Em Đã Quay Lại Nhìn Anh	Nhược Minh Dực	Ngôn Tình, Trọng Sinh, Ngược, Nữ Phụ	9.1	881	https://truyenfull.vision/cam-on-em-da-quay-lai-nhin-anh
Chồng Tôi Mắc Hội Chứng Bác Học	Bạo Táo Đích Bàng Giải	Ngôn Tình, Trọng Sinh, Sủng	9.1	808	https://truyenfull.vision/chong-toi-mac-hoi-chung-bac-hoc
Phi Thường Hoàn Mỹ	Cố Phán Nhi An Nhiên	Ngôn Tình, Trọng Sinh, Cung Đấu, Cổ Đại	9.1	775	https://truyenfull.vision/phi-thuong-hoan-my
Thiếp Định Chàng Rồi Quyết Chẳng Buông	Cố Liễu Chi	Ngôn Tình, Trọng Sinh, Cổ Đại	9.1	544	https://truyenfull.vision/thiep-dinh-chang-roi-quyet-chang-buong
Sơn Hà Chẩm	Mặc Thư Bạch	Ngôn Tình, Trọng Sinh, Cổ Đại	9.1	352	https://truyenfull.vision/son-ha-cham
Chàng Trai Khôi Ngô Trầm Lặng	Giang Tiểu Lục	Ngôn Tình, Trọng Sinh, Sủng	9.1	333	https://truyenfull.vision/chang-trai-khoi-ngo-tram-lang
Xuyên Nhanh: Tôi Là Đại Boss	Giang Nam Hồng Đậu	Huyền Huyễn, Trọng Sinh, Nữ Cường, Xuyên Nhanh, Hệ Thống	9.1	295	https://truyenfull.vision/xuyen-nhanh-toi-la-dai-boss
Ta Không Phải Là Đại Sư Bắt Quỷ	Duy Khách	Linh Dị, Trọng Sinh, Hài Hước	9.1	176	https://truyenfull.vision/ta-khong-phai-la-dai-su-bat-quy
Xuyên Thành Nữ Phụ Sau Bị Vai Ác Công Lược	Thiên Tuế Trản	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác, Nữ Phụ, Hệ Thống	9.1	123	https://truyenfull.vision/xuyen-thanh-nu-phu-sau-bi-vai-ac-cong-luoc
Thê Tử Của Bề Tôi Trung Thành	Mộ Từ	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác	9.1	117	https://truyenfull.vision/the-tu-cua-be-toi-trung-thanh
Dã Thú Và Chim Hoàng Yến	Bạo Sao Tiểu Hoàng Qua	Ngôn Tình, Trọng Sinh, Phương Tây	9.1	99	https://truyenfull.vision/da-thu-va-chim-hoang-yen
Thăng Trầm Của Hai Thế Giới	Zhihu	Trọng Sinh, Khác, Đoản Văn	9.1	72	https://truyenfull.vision/thang-tram-cua-hai-the-gioi
Vợ Chồng Cũ Trong Ngày Tận Thế	Zhihu	Trọng Sinh, Mạt Thế, Khác, Đoản Văn	9.1	66	https://truyenfull.vision/vo-chong-cu-trong-ngay-tan-the
Chiếu Điện Hồng	Tích Tích Diêm/昔昔盐	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác	9.1	56	https://truyenfull.vision/chieu-dien-hong
Thứ Nữ Phục Thù - Nguyệt Lộc	Nguyệt Lộc	Ngôn Tình, Trọng Sinh, Nữ Cường, Gia Đấu, Cổ Đại	9.1	13	https://truyenfull.vision/thu-nu-phuc-thu-nguyet-loc
Diệt Đích - Thanh Mộng	Thanh Mộng	Trọng Sinh, Nữ Cường, Cổ Đại	9.1	7	https://truyenfull.vision/diet-dich-thanh-mong
Bệnh Chiếm Hữu	Tùng Lan	Ngôn Tình, Trọng Sinh, Sủng	9	2241	https://truyenfull.vision/benh-chiem-huu
Y Thủ Che Thiên	Mộ Anh Lạc	Ngôn Tình, Dị Giới, Trọng Sinh, Nữ Cường	9	2237	https://truyenfull.vision/y-thu-che-thien
Đích Nữ Vô Song	Bạch Sắc Hồ Điệp	Trọng Sinh, Nữ Cường, Gia Đấu, Cổ Đại	9	1476	https://truyenfull.vision/dich-nu-vo-song
Đại Niết Bàn	Khảo Ngư	Đô Thị, Trọng Sinh	9	1434	https://truyenfull.vision/dai-niet-ban
Thịnh Sủng Thê Bảo	Mạt Trà Khúc Kỳ	Ngôn Tình, Trọng Sinh, Cổ Đại, Sủng	9	1176	https://truyenfull.vision/thinh-sung-the-bao
Trung Khuyển Nam Thần	Tử Thanh Du	Ngôn Tình, Trọng Sinh, Ngược	9	993	https://truyenfull.vision/trung-khuyen-nam-than
Ký Sự Hậu Cung	Thập Nguyệt Vi Vi Lương	Ngôn Tình, Trọng Sinh, Cung Đấu, Cổ Đại	9	614	https://truyenfull.vision/ky-su-hau-cung
Trọng Sinh Chi Bản Tính	Thanh Sắc Vũ Dực	Ngôn Tình, Trọng Sinh	9	341	https://truyenfull.vision/trong-sinh-chi-ban-tinh
[Đấu La Đại Lục 5] Trùng Sinh Đường Tam	Đường Gia Tam Thiếu	Tiên Hiệp, Huyền Huyễn, Trọng Sinh	9	327	https://truyenfull.vision/dau-la-dai-luc-5-trung-sinh-duong-tam
Nam Thần Và Mèo Của Anh Ấy	Thời Tinh Thảo	Ngôn Tình, Trọng Sinh, Dị Năng, Hệ Thống	9	223	https://truyenfull.vision/nam-than-va-meo-cua-anh-ay
Chồng Thật Thiên Kim Là Đại Lão Toàn Cấp (Tổng Tài Siêu Cấp Giàu Có Là Chồng Tôi)	Lâm Miên Miên	Ngôn Tình, Trọng Sinh, Khác	9	208	https://truyenfull.vision/chong-that-thien-kim-la-dai-lao-toan-cap-tong-tai-sieu-cap-giau-co-la-chong-toi
Mỹ Nhân Yêu Kiều Của Nhân Vật Phản Diện Sống Lại Rồi	Đào Hoa Dẫn	Ngôn Tình, Trọng Sinh, Khác	9	180	https://truyenfull.vision/my-nhan-yeu-kieu-cua-nhan-vat-phan-dien-song-lai-roi
Mỗi Lần Đều Chết Trong Lòng Nam Chính	Khương Chi Ngư	Ngôn Tình, Đô Thị, Huyền Huyễn, Linh Dị, Trọng Sinh, Truyện Teen	9	149	https://truyenfull.vision/moi-lan-deu-chet-trong-long-nam-chinh
Vai Phụ	Zhihu	Trọng Sinh, Cổ Đại, Khác, Đoản Văn	9	110	https://truyenfull.vision/vai-phu
Vị Phò Mã Áo Đỏ	Zhihu	Ngôn Tình, Trọng Sinh, Cổ Đại, Khác, Đoản Văn	9	92	https://truyenfull.vision/vi-pho-ma-ao-do
Cười Người Một Đời Được Như Ước Nguyện	Zhihu	Trọng Sinh, Cổ Đại	9	56	https://truyenfull.vision/cuoi-nguoi-mot-doi-duoc-nhu-uoc-nguyen
Phải Hạnh Phúc, Mẹ Nhé!	Trăng không có tội	Xuyên Không, Trọng Sinh, Khác, Đoản Văn	9	44	https://truyenfull.vision/phai-hanh-phuc-me-nhe
Cẩm Nguyệt Như Ca - Thiên Sơn Trà Khách	Thiên Sơn Trà Khách	Ngôn Tình, Trọng Sinh, Nữ Cường, Cổ Đại	9	43	https://truyenfull.vision/cam-nguyet-nhu-ca-thien-son-tra-khach
[Quyển 5] Ảnh Hậu Giới Giải Trí Trọng Sinh	Du Nhân	Ngôn Tình, Trọng Sinh, Khác, Sủng	9	43	https://truyenfull.vision/quyen-5-anh-hau-gioi-giai-tri-trong-sinh
Cạm Bẫy Ôn Nhu	Thiên Tại Thủy	Bách Hợp, Trọng Sinh	9	43	https://truyenfull.vision/cam-bay-on-nhu
Thập Niên 80 Cô Vợ Trẻ Xinh Đẹp	Di Sinh Sinh	Ngôn Tình, Trọng Sinh, Dị Năng, Hài Hước, Điền Văn, Hệ Thống	9	34	https://truyenfull.vision/thap-nien-80-co-vo-tre-xinh-dep
[Quyển 2][EDIT] Mạt Thế Trọng Sinh Nữ Vương: Đế Thiếu, Quỳ Xuống!	Lưu Ly Chi Nguyệt	Ngôn Tình, Trọng Sinh	9	30	https://truyenfull.vision/quyen-2edit-mat-the-trong-sinh-nu-vuong-de-thieu-quy-xuong
Chú Chó Nhỏ Của Ôn Kiều - Nhất Điểm Điểm	Nhất Điểm Điểm	Ngôn Tình, Đô Thị, Trọng Sinh, Sủng	9	21	https://truyenfull.vision/chu-cho-nho-cua-on-kieu-nhat-diem-diem
Thật Tốt Khi Là Góa Phụ	Diệp Tử Hữu Điểm Trì	Trọng Sinh, Nữ Cường, Cổ Đại	9	9	https://truyenfull.vision/that-tot-khi-la-goa-phu
Gả Cho Cha Của Nam Chính	Cửu Nguyệt Vi Lam	Ngôn Tình, Xuyên Không, Trọng Sinh, Nữ Cường, Cổ Đại, Sủng	8.9	2028	https://truyenfull.vision/ga-cho-cha-cua-nam-chinh
Luôn Có Người Điên Cuồng Cố Chấp Muốn Độc Chiếm Tôi	Khúc Tiểu Khúc	Ngôn Tình, Trọng Sinh, Sủng	8.9	1718	https://truyenfull.vision/luon-co-nguoi-dien-cuong-co-chap-muon-doc-chiem-toi
Đóng Gói Gả Chồng (Trọng Sinh Trước Cửa Cục Dân Chính)	Bạo Táo Đích Bàng Giải	Ngôn Tình, Trọng Sinh	8.9	1232	https://truyenfull.vision/dong-goi-ga-chong
Độc Sủng Ngốc Hậu	Quyết Tuyệt	Ngôn Tình, Xuyên Không, Trọng Sinh, Cung Đấu, Hài Hước, Cổ Đại, Sủng	8.9	1005	https://truyenfull.vision/doc-sung-ngoc-hau
Bị Phú Nhị Đại Theo Đuổi	Tụ Trặc	Ngôn Tình, Trọng Sinh, Nữ Cường	8.9	662	https://truyenfull.vision/bi-phu-nhi-dai-theo-duoi
Mùa Xuân Của Chó Độc Thân	Hồng Thứ Bắc	Ngôn Tình, Trọng Sinh, Nữ Cường, Điền Văn, Sủng	8.9	652	https://truyenfull.vision/mua-xuan-cua-cho-doc-than
Trùng Sinh Yêu An Tử Thiên	Chi Hoãn	Ngôn Tình, Trọng Sinh	8.9	650	https://truyenfull.vision/trung-sinh-yeu-an-tu-thien
Mười Kiếp Chờ Hoa Nở	Thiên Lý Hành Ca	Ngôn Tình, Huyền Huyễn, Trọng Sinh, Ngược, Sủng	8.9	218	https://truyenfull.vision/muoi-kiep-cho-hoa-no
Tô Vàng Nạm Ngọc	Bố Đinh Lưu Ly	Ngôn Tình, Trọng Sinh, Cổ Đại, Sủng	8.9	198	https://truyenfull.vision/to-vang-nam-ngoc
Cô Là Chuyên Gia Bắt Yêu	Bạo Táo Đích Bàng Giải	Ngôn Tình, Linh Dị, Trọng Sinh, Khác	8.9	194	https://truyenfull.vision/co-la-chuyen-gia-bat-yeu
Nuôi Em Thây Ma Gà Rù	Kỳ Cáp	Ngôn Tình, Trọng Sinh, Dị Năng, Mạt Thế	8.9	155	https://truyenfull.vision/nuoi-em-thay-ma-ga-ru
Chiêu Ninh	Zhihu	Ngôn Tình, Trọng Sinh, Nữ Cường, Cổ Đại, Khác, Đoản Văn	8.9	122	https://truyenfull.vision/chieu-ninh
Ẩn Tình Tư	Lục Trúc Thanh Thanh/绿竹青青	Trọng Sinh, Nữ Cường, Hài Hước, Cổ Đại, Khác	8.9	76	https://truyenfull.vision/an-tinh-tu
Sống Lại Tránh Xa Bùi Cửu Đường	Zhihu	Trọng Sinh, Cổ Đại, Khác, Đoản Văn	8.9	75	https://truyenfull.vision/song-lai-tranh-xa-bui-cuu-duong
Mẹ Nữ Phụ Là Ánh Trăng Sáng Của Ông Trùm Giới Thượng Lưu	LÂM MIÊN MIÊN	Xuyên Không, Trọng Sinh	8.9	54	https://truyenfull.vision/me-nu-phu-la-anh-trang-sang-cua-ong-trum-gioi-thuong-luu
Nhất Niệm Sinh Bồ Đề	Phong Nguyệt Sát Ngã	Ngôn Tình, Trọng Sinh, Cổ Đại, Ngược	8.9	39	https://truyenfull.vision/nhat-niem-sinh-bo-de
Ly Miêu Hay Thái Tử?	Zhihu	Trọng Sinh, Cổ Đại, Khác, Đoản Văn	8.9	34	https://truyenfull.vision/ly-mieu-hay-thai-tu
[Phần 2] Thiều Hoa Vì Quân Gả	Hoa Nhật Phi	Trọng Sinh, Cổ Đại	8.9	29	https://truyenfull.vision/phan-2-thieu-hoa-vi-quan-ga
Hoán Đổi Phu Quân - Một Chén Trà	Một Chén Trà	Ngôn Tình, Trọng Sinh, Cổ Đại	8.9	16	https://truyenfull.vision/hoan-doi-phu-quan-mot-chen-tra
Khúc Thâm Cung - Chẩm Lưu	Chẩm Lưu	Ngôn Tình, Trọng Sinh, Cổ Đại	8.9	14	https://truyenfull.vision/khuc-tham-cung-cham-luu
Vả Mặt Nữ Chính Trọng Sinh	Mang Quả Toan Nãi	Xuyên Không, Trọng Sinh, Cung Đấu, Nữ Cường, Gia Đấu, Cổ Đại, Khác	8.9	9	https://truyenfull.vision/va-mat-nu-chinh-trong-sinh
Thượng Lan Chu - Bất Thức Phả	Bất Thức Phả	Trọng Sinh, Nữ Cường, Cổ Đại	8.9	7	https://truyenfull.vision/thuong-lan-chu-bat-thuc-pha
Bệ Lệ Tầm Xuân - Trần Yến Xuân	Trần Yến Xuân	Ngôn Tình, Trọng Sinh	8.9	7	https://truyenfull.vision/be-le-tam-xuan-tran-yen-xuan
Cô Vợ Ngọt Ngào Có Chút Bất Lương (Vợ Mới Bất Lương Có Chút Ngọt)	Quẫn Quẫn Hữu Yêu	Ngôn Tình, Trọng Sinh, Sủng	8.8	20926	https://truyenfull.vision/co-vo-ngot-ngao-co-chut-bat-luong-vo-moi-bat-luong-co-chut-ngot
Hàng Ngày Nuông Chiều Ánh Trăng Sáng	Khương Chi Ngư	Ngôn Tình, Trọng Sinh, Sủng	8.8	734	https://truyenfull.vision/hang-ngay-nuong-chieu-anh-trang-sang
Túi Nhỏ Bên Ngực Trái	Giản Diệc Dung	Ngôn Tình, Trọng Sinh, Sủng	8.8	657	https://truyenfull.vision/tui-nho-ben-nguc-trai
Nữ Vương Hắc Đạo: Ông Xã Chớ Làm Loạn	Dực Yêu	Ngôn Tình, Trọng Sinh, Nữ Cường	8.8	545	https://truyenfull.vision/nu-vuong-hac-dao-ong-xa-cho-lam-loan
Tam Cô Nương Nhà Nông	Ma Lạt Hương Chanh	Trọng Sinh, Điền Văn	8.8	467	https://truyenfull.vision/tam-co-nuong-nha-nong
Ảnh Hậu Tái Lâm	Khương Ngọc	Ngôn Tình, Trọng Sinh	8.8	317	https://truyenfull.vision/anh-hau-tai-lam
Mèo Yêu	Hà Thư	Ngôn Tình, Huyền Huyễn, Trọng Sinh, Sủng	8.8	313	https://truyenfull.vision/meo-yeu
Không Cho Trả Lại Ông Xã	Lục Phong Tranh	Ngôn Tình, Đô Thị, Trọng Sinh	8.8	280	https://truyenfull.vision/khong-cho-tra-lai-ong-xa
Trùng Sinh Chi Ngốc Phu Quân	Phượng Vân	Ngôn Tình, Trọng Sinh, Cổ Đại	8.8	277	https://truyenfull.vision/trung-sinh-chi-ngoc-phu-quan
Chất Nữ	Cuồng Thượng Gia Cuồng	Trọng Sinh, Cung Đấu, Cổ Đại, Sủng	8.8	274	https://truyenfull.vision/chat-nu
Bất Ngộ	Tắc Mộ	Ngôn Tình, Huyền Huyễn, Trọng Sinh, Hài Hước, Cổ Đại, Đoản Văn	8.8	256	https://truyenfull.vision/bat-ngo
Lịch Sử Của Nhân Vật Nhỏ Trong Làng Giải Trí	Đạt Oa	Ngôn Tình, Đô Thị, Xuyên Không, Trọng Sinh, Dị Năng, Nữ Cường	8.8	238	https://truyenfull.vision/lich-su-cua-nhan-vat-nho-trong-lang-giai-tri
Weibo Của Tôi Có Thể Đoán Mệnh	Khương Chi Ngư	Huyền Huyễn, Trọng Sinh, Trinh Thám, Hài Hước, Sủng	8.8	191	https://truyenfull.vision/weibo-cua-toi-co-the-doan-menh
Tôi Không Phải Là Nữ Chính	Miêu Thái Lang	Ngôn Tình, Xuyên Không, Trọng Sinh, Nữ Cường, Hệ Thống	8.8	187	https://truyenfull.vision/toi-khong-phai-nu-chinh
Trùng Sinh Chi Ảnh Hậu Tái Lâm	Khương Ngọc	Ngôn Tình, Trọng Sinh	8.8	183	https://truyenfull.vision/trung-sinh-chi-anh-hau-tai-lam
Trọng Sinh Cự Tuyệt Trở Thành Bình Phong Của Nam Phụ	Đây là một con mèo sữa	Ngôn Tình, Trọng Sinh, Nữ Cường, Điền Văn, Cổ Đại, Ngược, Khác, Sủng	8.8	118	https://truyenfull.vision/trong-sinh-cu-tuyet-tro-thanh-binh-phong-cua-nam-phu
Tâm Trẫm Thật Là Mệt	Mộc Yêu Nhiêu	Trọng Sinh, Cổ Đại, Sủng	8.8	102	https://truyenfull.vision/tam-tram-that-la-met
Xuyên Qua Chi Nữ Tắc - Bồng Lai Khách	Bồng Lai Khách	Ngôn Tình, Xuyên Không, Trọng Sinh, Nữ Cường, Cổ Đại, Sủng	8.8	77	https://truyenfull.vision/xuyen-qua-chi-nu-tac-bong-lai-khach
[Quyển 3] Ảnh Hậu Giới Giải Trí Trọng Sinh	Du Nhân	Ngôn Tình, Trọng Sinh, Khác, Sủng	8.8	68	https://truyenfull.vision/quyen-3-anh-hau-gioi-giai-tri-trong-sinh
Tiểu Tỳ Linh Lan	Kim Huyên	Ngôn Tình, Trọng Sinh, Cổ Đại	8.8	50	https://truyenfull.vision/tieu-ty-linh-lan
